n,tipo,empresa,programa,materialidad_textual,materialidad_categoria,superficie_base_m2,superficie_ampliada_m2,pisos,alcance,url_ficha,observaciones
01,"Vivienda Base / Ampliada","Patagual","DS49/2011","Vivienda de estructura de madera de grado estructural, seca e impregnada contra termitas y humedad. Segura frente a incendios y sismos.","madera","50.8","60.05","2","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/1-Vivienda-tipo-industrailizada-PATAGUAL2023-2025.pdf","pisos = 2 niveles rotulados (Nivel 1 + Nivel 2). BORRADOR de categoria."
02,"Vivienda Rural Tamarugo","E2E S.A.","DS10/2015","Vivienda de estructura de madera de grado estructural, seca e impregnada contra termitas y humedad. Segura frente a incendios y sismos.","madera","52 (+3,66 sombreador)","61,84 (+3,66 sombreador)","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/2-Ficha-Vivienda-Rural-Tamarugo-2025.pdf","Superficie base 52 m2 + 3,66 m2 sombreador aparte; ampliada 61,84 m2 + 3,66 m2 sombreador. BORRADOR."
03,"Vivienda Base / Ampliada","E2E S.A.","DS49/2011","Vivienda de estructura de madera de grado estructural, seca e impregnada contra termitas y humedad. Segura frente a incendios y sismos.","madera","50","83","2","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/3-Vivienda-tipo-industrailizada-E2E-2025.pdf","La pagina de vivienda ampliada muestra '83 m2', pero el campo Superficie/m2 indica 51 m2 (base); posible solape de texto en el PDF. VERIFICAR ampliada. pisos = Nivel 1 + Nivel 2."
04,"Vivienda Familia Numerosa (FN)","E2E S.A.","DS49/2011","Vivienda de estructura de madera de grado estructural, seca e impregnada contra termitas y humedad. Segura frente a incendios y sismos.","madera","62,5","sin dato","2","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/4-FICHA-E2E-DITEC-FN-Vivienda-tipo-industrailizada-E2E-FN-2025.pdf","Variante Familia Numerosa: 51 m2 (base) + 11,5 m2 (tercer dormitorio) = 62,5 m2. pisos = Nivel 1 + Nivel 2."
05,"Vivienda Pareada 86 (Base / Ampliada)","E2E S.A.","DS49/2011","Vivienda de estructura de madera de grado estructural, seca e impregnada contra termitas y humedad. Segura frente a incendios y sismos.","madera","51,61","63,49","2","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/5-2da-Ficha-Vivienda-Pareada86-2025.pdf","pisos = Nivel 1 + Nivel 2."
06,"Vivienda Rural Ñandú","Tecnotruss S.A.","DS10/2015","Vivienda de estructura de Paneles SIP.","panel SIP","64","sin dato","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/6-Ficha-Vivienda-Rural-Nandu-2025.pdf",""
07,"Vivienda Rural Ñandú RD (radier)","Tecnotruss S.A.","DS10/2015","Vivienda de estructura de Paneles SIP.","panel SIP","64","sin dato","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/7-Ficha-Vivienda-Rural-Nandu-RD-2025.pdf","Variante RD (radier)."
08,"VIT Ñandú DS49 RD","Tecnotruss S.A.","DS49/2011","Vivienda de estructura de Paneles SIP.","panel SIP","64","sin dato","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/8-RD-Ficha-Vivienda-Rural-Nandu-DS49-2025.pdf","Campo Materialidad de la tabla = 'Panel SIP'. El cuerpo del oficio dice 'presentada por TECNOPANEL', aunque la Empresa Industrializadora declarada es Tecnotruss S.A."
09,"VIT Ñandú DS49 PV","Tecnotruss S.A.","DS49/2011","Vivienda de estructura de Paneles SIP.","panel SIP","64","sin dato","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/9-PV-Ficha-Vivienda-Rural-Nandu-DS49-2025.pdf","CONTRADICCION interna: la frase de portada dice 'Paneles SIP' pero el campo Materialidad de la tabla dice 'Madera'. Su ficha hermana (08) dice Panel SIP. CONFIRMAR."
10,"Vivienda Tecnopanel Urbana (VIT Urbana)","Tecnopanel S.A.","DS49/2011","Vivienda de estructura de Paneles SIP.","panel SIP","52,5","63,5","sin dato","(N) nacional","https://www.minvu.gob.cl/wp-content/uploads/2025/10/10-Ficha-Vivienda-TECNOPANEL-URBANA-2025.pdf",""
