industrializadora,fichas,resolucion_web_minvu,fecha_web_minvu,archivo_local,numero_registro,domicilio_literal,comuna,region,plantas_declaradas_literal,sistema_constructivo_literal,pagina,observaciones
"Patagual Home SpA","01","RES. EX. N°607","14.03.2023",res-0607-patagual.pdf,"01-2023","Cochrane N° 635, Bloque A, Dpto. 501, de la comuna de Concepción, de la Región de Bio Bio",Concepción,Biobío,"no declarado (sin tabla de plantas)","sistema constructivo industrializado marco plataforma en base a paneles y/o módulos",2,"El domicilio es un departamento; la resolución no dice que sea planta. El ORD 46 (ficha 01) usa Cochrane 635 oficina 503."
"Santa Magdalena SpA","11, 12","RES. EX. N°639","15.03.2023",res-0639-santa-magdalena.pdf,"03-2023","RUTA S-30 07724 Camino Labranza, de la comuna de Temuco, de la Región de La Araucanía",Temuco,La Araucanía,"no declarado (sin tabla de plantas)","sistema constructivo industrializado en acero galvanizado en base a paneles",2,"Fecha en el documento: 16 MAR 2023; la web del Minvu dice 15.03.2023."
"E2E S.A.","02, 03, 04, 05","RES. EX. N°637","16.03.2023",res-0637-e2e.pdf,"02-2023","Camino a Melipilla N° 10651, de la comuna de Maipú, de la Región Metropolitana",Maipú,Metropolitana,"no declarado (sin tabla de plantas)","sistema constructivo industrializado marco plataforma en base a paneles",2,"Misma dirección que la distribución del ORD 1755 (ficha 05)."
"Promet Servicios SpA","22, 23","RES. EX. N°679","27.03.2023",res-0679-promet.pdf,"04-2023","Av. Del Valle Sur 650 Oficina 31 de la comuna de Huechuraba de la Región Metropolitana",Huechuraba,Metropolitana,"no declarado (sin tabla de plantas)","sistema constructivo industrializado en acero en base a módulos",2,"El domicilio es una oficina; la resolución no dice que sea planta."
"Baumax SpA","13 (por portada), 14, 15, 16","RES. EX. N°834","21.04.2023",res-0834-baumax.pdf,"05-2023","Av. La Dehesa 1822 oficina 403 de la comuna de Lo Barnechea de la Región Metropolitana",Lo Barnechea,Metropolitana,"no declarado (sin tabla de plantas)","sistema constructivo en hormigón armado",2,"El domicilio es una oficina; la resolución no dice que sea planta."
"Tecno Fast S.A.","17, 18","RES. EX. N°1.092","14.06.2023",res-1092-tecnofast.pdf,"09-2023","Av. La Montaña N° 692, de la comuna de Lampa, de la región Metropolitana",Lampa,Metropolitana,"Tabla 'Planta industrializadora': (1) TECNO FAST, Av. La Montaña N° 692, Lampa, Región Metropolitana; (2) TECNO FAST, Av. Pdte. Eduardo Frey Montalva N° 17000, Colina, Región Metropolitana","sistema constructivo marco plataforma industrializado en base a paneles y/o módulos (en ambas plantas)",2,"Única resolución con dos plantas. El ORD 545 (ficha 17) usa 'Panamericana Norte 17.000 Colina'."
"Tecnotruss S.A. (1ª autorización)","06, 07, 08, 09, 10, 19","RES. EX. N°1.093","14.06.2023",res-1093-tecnotruss.pdf,"07-2023","José de San Martín s/n sitio 98, de la comuna de Colina de la región Metropolitana",Colina,Metropolitana,"Tabla 'Planta industrializadora': TECNO PANEL, Av. José de San Martín sin número, sitio 98, Loteo Industrial Los Libertadores, Colina, Región Metropolitana","sistema constructivo en base a paneles SIP, aprobado como sistema constructivo no tradicional mediante informe técnico N°02/2023 del 27.04.2023",2,"Explica por qué las fichas 10 y 19 dicen 'Tecnopanel S.A.': es el nombre de la planta de Tecnotruss."
"Tecnotruss S.A. (2ª autorización)","ninguna (los seis oficios citan la 1.093)","RES. EX. N°1823","02.12.2025",res-1823-tecnotruss-2.pdf,"23","Ruta 5 Km. 1009 – Parcelación Laja – Lote 10 – de la comuna de Puerto Varas, de la región de Los Lagos",Puerto Varas,Los Lagos,"no declarado (sin tabla de plantas)","marco plataforma en base a paneles y/o módulos de madera, y paneles SIP (informe técnico N°02/2023 del 21.04.2023)",2,"Segunda autorización de Tecnotruss; en datos-vit.ts figura como 'Tecnotruss S.A. (Puerto Varas)' sin url."
"Prefabricadas Premium SpA","20, 21","RES. EX. N°1.657","04.10.2023",res-1657-prefabricadas-premium.pdf,"11-2023","Santa Amalia Lote 5A, comuna y región de Coquimbo",Coquimbo,Coquimbo,"no declarado (sin tabla de plantas)","Sistema Constructivo Industrializado marco plataforma en base a paneles y/o módulos",2,"ORD 762 (ficha 21): 'Fundo Santa Amalia 5A Ruta 43 Pan de Azúcar Coquimbo'. ORD 251 (ficha 20): 'Cuatro Esquinas Ruta 5 - La Serena'."
"Canada House SpA","24","RES. EX. N°1.702","13.11.2025",res-1702-canada-house.pdf,"22","Calle las Quilas N° 1535, comuna de Temuco, Región de la Araucanía",Temuco,La Araucanía,"no declarado (sin tabla de plantas)","sistema constructivo en base a paneles de madera y módulos de madera",2,"El ORD 424 (ficha 24) cita RES EX N°764 de 12.04.2023, que no está en línea. Misma dirección que la distribución del ORD 424."
