n,slug,nombre_ficha,programa,industrializadora_oficio,desarrollada_por_portada,zonas_portada_literal,zonas_oficio_literal,sistema_zonas,higrotermico_literal,oficio_numero,oficio_fecha,res_ex_industrializadora_citada,codigo_aprobacion,direccion_en_ficha,pag_zonas_portada,pag_oficio,pag_direccion,observaciones
01,patagual-base,"Vivienda Base / Ampliada (Patagual)",DS49,"no declarado (oficio sin campo Empresa Industrializadora; dirigido a Patagual Home)","Minvu y Patagual","no declarado","Para zonas A - B - C - D - E ó F. En Zonas G e I, el eje 2 no se podrá orientar al sur.","letras A–I","no declarado","ORD N°46","10 enero 2023","no declarado","00 – DITEC – PATAGUAL – 01 – 50,08","Distribución: DESTINATARIO - COCHRANE 635 OFICINA 503 TORRE A CONCEPCIÓN",-,3,4,"Oficio anterior a la Res. Ex. 607 (14.03.2023) de Patagual. Tabla del oficio descuadrada por pdftotext; valores leídos por posición. Superficie ficha 50.8 vs oficio 50,08."
02,tamarugo,"Vivienda Rural Tamarugo",DS10,"E2E SPA","Minvu y E2E","A – B – C – D – E","A-B-C-D-E","letras A–I","Numeral 5: cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las Zonas Térmicas indicadas en el numeral 1","ORD N°1372","24 agosto 2023","RES EX N° 637 DE 16.03.2023","00 – DITEC – E2E – 03 – 52","no declarado (distribución solo con correo)",1,2,3,""
03,e2e-base,"Vivienda Base / Ampliada (E2E)",DS49,"no declarado (oficio sin campo Empresa Industrializadora; dirigido a E2E S.A.)","Minvu y E2E","no declarado","A-B-C-D-F","letras A–I","no declarado","ORD N°2167","02 diciembre 2022","no declarado","00 – DITEC – E2E – 01 – 51","no declarado",-,3,4,"El oficio dice literalmente A-B-C-D-F (salta la E). Oficio anterior a la Res. Ex. 637 de E2E."
04,e2e-fn,"Vivienda Familia Numerosa (E2E)",DS49,"no declarado (oficio sin campo Empresa Industrializadora; dirigido a E2E S.A.)","Minvu y E2E","no declarado","A-B-C-D-E","letras A–I","no declarado","ORD N°394","06 marzo 2023","no declarado","00 – DITEC – E2E – 02 – 62,5","no declarado (distribución solo con correo)",-,2,3,"Mantiene estructura base del ORD 2167 (ficha 03)."
05,pareada-86,"Vivienda Base / Ampliada Pareada 86 (E2E)",DS49,"E2E S.A.","Minvu y E2E","A – B – C – D","A-B-C-D","letras A–I","Numeral 5: cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las Zonas Térmicas indicadas en el numeral 1","ORD N°1755","02 noviembre 2023","RES EX N° 637 DE 16.03.2023","00 – DITEC – E2E– 04 – 51.61","Distribución: DESTINATARIO CAMINO A MELIPILLA 10.651 MAIPÚ - SANTIAGO","1 y 2",3,4,"Reemplaza y rectifica ORD N°11 del 26.10.2023."
06,nandu-pv-rural,"Vivienda Rural Ñandú (PV)",DS10,"TECNOTRUSS S.A.","Minvu y Tecnotruss S.A.","A – B – C – D – E","A-B-C-D-E","letras A–I","ORD 2462: el proyecto aprobado cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las zonas térmicas indicadas anteriormente","ORD N°2462 (aprobación) y ORD N°505 (complemento)","04 diciembre 2024 y 15 abril 2025","RES EX N° 1.093 DE 14.06.2023","00 – DITEC – TECNOTRUSS SA – 04 – 64","no declarado (distribución solo con correos jmartinez@tecnofast.cl y csanchez@tecnopanel.cl)",1,"4–6 (ORD 2462) y 2–3 (ORD 505)","3 y 6","ORD 2462 deroga ORD 1373/2024 y ORD 277/2024 y va dirigido al Gerente de Ingeniería de Tecnopanel."
07,nandu-rd-rural,"Vivienda Rural Ñandú RD (radier)",DS10,"TECNOTRUSS S.A.","Minvu y Tecnotruss S.A.","A – B – C – D – E","A-B-C-D-E","letras A–I","ORD 2462: el proyecto aprobado cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las zonas térmicas indicadas anteriormente","ORD N°2462 (aprobación) y ORD N°505 (complemento)","04 diciembre 2024 y 15 abril 2025","RES EX N° 1.093 DE 14.06.2023","00 – DITEC – TECNOTRUSS SA – 05 – 64","no declarado (distribución solo con correos)",1,"4–6 (ORD 2462) y 2–3 (ORD 505)","3 y 6","Mismos dos oficios que la ficha 06; este es el proyecto 2 (VIT RURAL ÑANDÚ RD) del ORD 2462."
08,nandu-rd-ds49,"VIT Ñandú DS49 RD",DS49,"TECNOTRUSS S.A.","Minvu y Tecnotruss S.A.","B – C – D – E","B-C-D-E","letras A–I","no declarado","ORD N°776","23 mayo 2025","RES EX N° 1.093 DE 14.06.2023","00 – DITEC – TECNOTRUSS SA – 08 – 64","no declarado (distribución solo con correo jmartinez@tecnofast.cl)",1,2,3,"MAT. del oficio: 'presentada por TECNOPANEL SA'."
09,nandu-pv-ds49,"VIT Ñandú DS49 PV",DS49,"TECNOTRUSS S.A.","Minvu y Tecnotruss S.A.","B – C – D – E","B-C-D-E","letras A–I","no declarado","ORD N°777","23 mayo 2025","RES EX N° 1.093 DE 14.06.2023","00 – DITEC – TECNOTRUSS SA – 07 – 64","no declarado (distribución solo con correo)",1,2,3,"MAT.: 'presentada por TECNOPANEL SA'. Materialidad del oficio: Madera (la portada dice Paneles SIP)."
10,tecnopanel-urbana,"Vivienda Tecnopanel Urbana (VIT Urbana)",DS49,"TECNOTRUSS S.A.","Minvu y Tecnopanel S.A.","A – B – C – D – E","A-B-C-D-E","letras A–I","Numeral 5: cumple las exigencias de comportamiento higrotérmico establecidas en los PDA correspondientes a las Zonas Térmicas indicadas en el numeral 1","ORD N°546","28 febrero 2024","RES EX N° 1.093 DE 14.06.2023","00 – DITEC – TECNOTRUSS SA – 03 – 52,57","Distribución: CSANCHEZ@TECNOPANEL.CL - JOSÉ DE SAN MARTÍN SN LOTE 98 COMPLEJO LOS LIBERTADORES (sin comuna)",1,2,3,"Portada dice Tecnopanel S.A.; el oficio declara Tecnotruss S.A. Tabla descuadrada por pdftotext; valores leídos por posición."
