region,provincia,comuna,zona_termica,condicion_meridiano_oeste,condicion_altitud_msnm,zonas_en_la_comuna,tipo_particion,fuente
Arica y Parinacota,Arica,Arica,A,,< 1.100,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Arica y Parinacota,Arica,Arica,B,,1.100 ≤ altitud < 3.000,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Arica y Parinacota,Arica,Arica,H,,≥ 3.000,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Arica y Parinacota,Arica,Camarones,A,,< 1.100,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Arica y Parinacota,Arica,Camarones,B,,1.100 ≤ altitud < 3.000,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Arica y Parinacota,Arica,Camarones,H,,≥ 3.000,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Arica y Parinacota,Parinacota,Putre,H,,≥ 3.000,1,ninguna,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Arica y Parinacota,Parinacota,General Lagos,H,,≥ 3.000,1,ninguna,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Iquique,Iquique,A,,,1,ninguna,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Camiña,B,,1.100 ≤ altitud < 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Camiña,H,,≥ 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Colchane,H,,,1,ninguna,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Huara,A,,< 1.100,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Huara,B,,1.100 ≤ altitud < 3.000,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Huara,H,,≥ 3.000,3,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Pica,B,,< 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Pica,H,,≥ 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Pozo Almonte,B,,< 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Tamarugal,Pozo Almonte,H,,≥ 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Tarapacá,Iquique,Alto Hospicio,A,,,1,ninguna,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,Antofagasta,Antofagasta,A,≥ 70°,,3,meridiano y altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,Antofagasta,Antofagasta,B,< 70°,< 3.000,3,meridiano y altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,Antofagasta,Antofagasta,H,,≥ 3.000,3,meridiano y altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,Antofagasta,Mejillones,A,,,1,ninguna,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,Antofagasta,Sierra Gorda,B,,,1,ninguna,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,Antofagasta,Taltal,A,≥ 70°,,3,meridiano y altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,Antofagasta,Taltal,B,< 70°,< 3.000,3,meridiano y altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,Antofagasta,Taltal,H,,≥ 3.000,3,meridiano y altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,El Loa,Calama,B,,< 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,El Loa,Calama,H,,≥ 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,El Loa,Ollagüe,H,,,1,ninguna,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
Antofagasta,El Loa,San Pedro de Atacama,B,,< 3.000,2,altitud,"Ditec Minvu, Zonificación térmica por comuna (NCh1079), minvu.gob.cl/wp-content/uploads/2023/04/Zonas-Termicas-DITEC.pdf"
